Motif,Note
0,9
1,6
2,1
3,3
4,6
5,8
6,8
7,8
8,5
9,8
10,6
11,6
12,1
13,5
14,3
15,4
16,1
17,1
18,9
19,6
20,1
21,6
22,3
23,2
24,7
25,7
26,7
27,6
28,6
29,7
30,9
31,7
32,6
33,5
34,6
35,5
36,8
37,6
38,8
39,8
40,8
41,1
42,6
43,3
44,3
45,6
46,6
47,6
48,3
49,6
50,1
51,1
52,3
53,6
54,1
55,1
56,6
57,1
58,6
59,1
60,4
61,6
62,6
63,4
64,1
65,6
66,3
67,3
68,1
69,5
70,5
71,1
72,6
73,6
74,1
75,6
76,7
77,8
78,7
79,8
80,1
81,7
82,1
83,5
84,6
85,1
86,7
87,6
88,6
89,7
90,1
91,6
92,8
93,6
94,6
95,6
96,1
97,6
98,6
99,6
