video,tl,br,length,width,height,Travel distance (cm),Average speed (cm/min),per_center (%)
FAD01_OF,"[103, 86]","[398,407]",1357.08,418.0,444.0,15213.300751996558,6.459153851249486,0.09995835068721366
FAD02_OF,"[24,69]","[324,401]",1357.08,438.0,440.0,9976.415468212248,3.7909231280472304,0.16502739243264025
FAD03_OF,"[22,76]","[319,405]",1194.64,416.0,432.0,13489.992008299741,5.8012971894354655,0.17200160717873167
FAD04_OF,"[92,77]","[387,396]",1194.64,404.0,422.0,14486.540560263698,6.736583779578009,0.15505926471573026
FAD09_remapped,"[102,98]","[395,384]",1192.2,410.0,404.0,11912.65712672662,5.2115667694664936,0.12729407817480287
FAD10_remapped,"[18,87]","[309,384]",1192.2,410.0,404.0,14569.059954616478,6.788353794308637,0.10095621540010065
FAD11_remapped,"[96,27]","[395,309]",1192.2,410.0,404.0,15963.51369404843,6.8861994260220225,0.11769837275624895
FAD12_remapped,"[16,25]","[298,302]",1192.2,400.0,404.0,13459.790018503509,5.737659813274847,0.16077839288709947
FAD13_remapped,"[102,92]","[389,387]",1211.26,410.0,402.0,13100.908771725724,5.847116419138218,0.19982477422833267
FAD15_remapped,"[98,20]","[394,200]",1211.26,410.0,402.0,22954.32058577827,9.81513077866328,0.09654266073594824
FAD16_remapped,"[14,18]","[298,293]",1211.26,410.0,402.0,14347.03948539566,6.335739701642243,0.13758592802264455
FAD17_OF,"[90,96]","[369,396]",1189.64,384.0,410.0,12575.195116514918,4.899760542927721,0.18392118624121584
FAD18_OF,"[8,97]","[302,398]",1189.64,390.0,410.0,13490.052708227995,5.706561300553905,0.08093204666958072
FAD19_OF,"[83,17]","[374,307]",1189.64,390.0,410.0,16827.070569731364,8.030337048470606,0.0910527554554319
FAD20_OF,"[12,25]","[296,304]",1189.64,390.0,410.0,14407.569868930548,5.569945151001739,0.07767055579839278
FAD06_OF,"[98,90]","[384,389]",1181.88,404.0,402.0,9877.671000585033,4.690045501946347,0.13534368971469185
FAD05_OF,"[20,81]","[305,290]",1181.88,404.0,402.0,13964.924456143273,7.067751825145854,0.15409347818729482
FAD08_OF,"[86,14]","[380,297]",1181.88,392.0,390.0,8951.117490313354,4.254040917200905,0.11595085795512235
FAD07_OF,"[20,14]","[297,297]",1181.88,396.0,400.0,14590.390264421487,6.392543689880796,0.10904660371611331
